Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Izrada standarda zanimanja/kvalifikacija uz unaprjeđenje zdravstvenih studijskih programa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Splitu, Sveučilišni odjel zdravstvenih studija",29845096215,29.06.2015,29.09.2016,"2.589.410,00 kn","2.725.696,70 kn",,,,,
Usluga osobne asistencije za osobe s intelektualnim teškoćama Slavonski Brod,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga za pomoć osobama s mentalnom retardacijom Slavonski Brod ,66861281361,09.11.2015,08.11.2016,"642.763,99 kn","642.763,99 kn",,,,,
Širenje usluge osobne asistencije za osobe s invaliditetom u Dubrovačko-neretvanskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Udruga osoba s invaliditetom ""Prijatelj"" Metković",9317614196,29.10.2015,28.10.2016,"641.253,04 kn","641.253,04 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Razvoj funkcionalne regije Južna Dalmacija,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Dubrovačko-neretvanska županija ,32082115313,02.04.2015,31.08.2016,"5.493.094,58 kn","6.462.464,21 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
Studija opravdanosti otklanjanja uskih grla na cestovnom pravcu Ploče – Pelješki most - Dubrovnik,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste ,55545787885,04.02.2016,31.12.2016,"807.330,00 kn","949.800,00 kn",,,,,
Implementacija programskog rješenja za upravljanje građevinskom proizvodnjom.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ipsum d.o.o. ,26472901970,02.02.2015,01.02.2016,"248.500,00 kn","355.000,00 kn",,,,,
Ulaganje u izgradnju i opremanje ekskluzivnog Aparthotela Vinaria*** i razvoj vinskog turizma na poluotoku Pelješcu ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Saints Hills d.o.o. ,71000585584,01.08.2014,31.07.2016,"4.580.654,98 kn","9.161.309,96 kn",,,,,
